datetime,open,high,low,close,volume
2025-01-31T08:00:00,2674,3700,2674,3378,58495940.42804
2025-01-31T12:00:00,3374,3552,3213,3279,45324778.794019
2025-01-31T16:00:00,3280,3303,3058,3117,7320795.626438
2025-01-31T20:00:00,3119,3130,2973,3018,5149304.842359
2025-02-01T00:00:00,3018,3204,2966,3077,16645318.013305
2025-02-01T04:00:00,3074,3092,2982,2998,5520850.015466
2025-02-01T08:00:00,2998,3023,2892,2948,4125029.94728
2025-02-01T12:00:00,2948,2977,2738,2756,7794579.092073
2025-02-01T16:00:00,2754,2777,2540,2560,5677665.638437
2025-02-01T20:00:00,2559,2627,2463,2507,7557276.960299
2025-02-02T00:00:00,2507,2560,2412,2440,6659614.285441
2025-02-02T04:00:00,2441,2632,2435,2542,7516120.434587
2025-02-02T08:00:00,2542,2594,2479,2500,3253299.88234
2025-02-02T12:00:00,2500,2545,2418,2459,3146600.768962
2025-02-02T16:00:00,2459,2461,2215,2358,3765454.996544
2025-02-02T20:00:00,2345,2375,2140,2266,2676722.770275
2025-02-03T00:00:00,2271,2338,1721,2012,8775265.418837
2025-02-03T04:00:00,2012,2180,1928,2159,2859718.96835
2025-02-03T08:00:00,2159,2251,2111,2172,1862618.50709
2025-02-03T12:00:00,2173,2425,2100,2370,3604178.438904
2025-02-03T16:00:00,2370,2425,2300,2425,1017847.164907
2025-02-03T20:00:00,2425,2532,2329,2477,1711357.063629
2025-02-04T00:00:00,2477,2488,2313,2355,1796856.1403
2025-02-04T04:00:00,2355,2378,2177,2188,1824152.603265
2025-02-04T08:00:00,2198,2358,2182,2302,746893.817242
2025-02-04T12:00:00,2307,2538,2306,2491,2008928.97222
2025-02-04T16:00:00,2496,2550,2358,2367,753971.27827
2025-02-04T20:00:00,2367,2399,2225,2262,1274065.763712
2025-02-05T00:00:00,2262,2321,2217,2230,1142805.746039
2025-02-05T04:00:00,2231,2280,2164,2229,724509.026376
2025-02-05T08:00:00,2221,2335,2184,2321,675071.381423
2025-02-05T12:00:00,2322,2411,2299,2328,2229308.606324
2025-02-05T16:00:00,2328,2328,2085,2129,912560.384078
2025-02-05T20:00:00,2141,2164,2005,2031,1448300.575835
2025-02-06T00:00:00,2031,2099,2010,2076,1431527.395809
2025-02-06T04:00:00,2073,2105,2031,2051,965675.100507
2025-02-06T08:00:00,2051,2073,1965,1998,1309010.864548
2025-02-06T12:00:00,2005,2030,1764,1787,5551668.933894
2025-02-06T16:00:00,1784,1850,1730,1786,3011029.771937
2025-02-06T20:00:00,1785,1876,1782,1816,1092040.989514
2025-02-07T00:00:00,1816,1942,1801,1870,5110836.998881
2025-02-07T04:00:00,1870,1919,1798,1845,2177413.563431
2025-02-07T08:00:00,1845,1942,1839,1900,1661633.850697
2025-02-07T12:00:00,1895,2112,1863,1924,7123196.244021
