datetime,open,high,low,close,volume
2025-10-02T12:00:00,1241,1890,700,808,412347351.292555
2025-10-02T16:00:00,807,1099,777,891,252152971.382837
2025-10-02T20:00:00,891,905,791,849,76715706.448207
2025-10-03T00:00:00,849,880,730,767,120948788.521527
2025-10-03T04:00:00,767,817,751,761,56993360.067113
2025-10-03T08:00:00,761,799,725,747,66361697.964388
2025-10-03T12:00:00,747,756,727,749,37034527.320358
2025-10-03T16:00:00,748,772,734,762,23199730.373549
2025-10-03T20:00:00,762,767,740,742,16754121.167339
2025-10-04T00:00:00,742,754,728,731,28331979.111853
2025-10-04T04:00:00,731,744,729,735,12799409.33976
2025-10-04T08:00:00,735,735,705,714,21140045.991668
2025-10-04T12:00:00,714,726,705,710,9834139.993829
2025-10-04T16:00:00,711,711,678,696,11657976.780518
2025-10-04T20:00:00,697,718,697,711,6303635.310419
2025-10-05T00:00:00,711,724,696,716,21901888.183232
2025-10-05T04:00:00,716,731,704,714,10192212.594711
2025-10-05T08:00:00,714,719,696,704,9767661.907134
2025-10-05T12:00:00,703,720,699,718,8408196.075037
2025-10-05T16:00:00,718,720,692,694,6453132.937484
2025-10-05T20:00:00,692,708,691,705,3149017.348752
2025-10-06T00:00:00,706,712,693,697,9791956.414564
2025-10-06T04:00:00,697,697,685,687,5578573.392357
2025-10-06T08:00:00,687,692,681,687,7712769.948863
2025-10-06T12:00:00,687,692,684,687,5992947.321243
2025-10-06T16:00:00,686,705,680,697,7602978.23227
2025-10-06T20:00:00,697,708,695,706,5712722.907478
2025-10-07T00:00:00,706,715,690,706,15478753.316629
2025-10-07T04:00:00,705,714,656,672,17278897.662538
2025-10-07T08:00:00,672,673,659,670,10319457.860046
2025-10-07T12:00:00,669,673,637,640,17282949.448418
2025-10-07T16:00:00,639,652,632,633,5066317.608148
2025-10-07T20:00:00,633,641,631,634,4446834.199871
2025-10-08T00:00:00,634,634,584,589,24033542.636326
2025-10-08T04:00:00,589,590,566,568,15633732.865591
2025-10-08T08:00:00,568,571,553,561,17805684.5282
2025-10-08T12:00:00,561,584,553,581,13377761.903214
2025-10-08T16:00:00,581,597,575,585,8642072.35071
2025-10-08T20:00:00,585,600,582,596,5125677.159658
2025-10-09T00:00:00,598,598,562,580,15745655.034064
2025-10-09T04:00:00,578,587,571,578,4904001.018677
2025-10-09T08:00:00,579,586,562,572,6456826.998415
2025-10-09T12:00:00,572,575,563,571,3745751.109331
2025-10-09T16:00:00,571,575,537,539,5832235.848523
2025-10-09T20:00:00,539,544,527,529,6965188.654623
2025-10-10T00:00:00,529,547,493,496,26916660.891655
2025-10-10T04:00:00,496,500,476,481,14214421.68325
2025-10-10T08:00:00,481,490,478,488,8680453.485356
2025-10-10T12:00:00,487,498,469,473,10704834.647145
