datetime,open,high,low,close,volume
2025-06-16T08:00:00,50.02,77.18,50.02,61.5,1616393120.639464
2025-06-16T12:00:00,61.5,61.52,53,53.37,769226500.809329
2025-06-16T16:00:00,53.37,54.84,52.08,54.43,142387704.502685
2025-06-16T20:00:00,54.42,56,50.83,51.5,206180625.858018
2025-06-17T00:00:00,51.47,54.27,47.89,48.62,416080582.30039
2025-06-17T04:00:00,48.63,52.99,48.53,50.17,218456541.706334
2025-06-17T08:00:00,50.16,50.36,46.32,46.93,210515929.712806
2025-06-17T12:00:00,46.92,49.47,46.7,48.57,181003965.415894
2025-06-17T16:00:00,48.53,50.95,47.86,49.91,46803973.577853
2025-06-17T20:00:00,49.91,50.21,48.57,48.87,51526014.163245
2025-06-18T00:00:00,48.87,55.2,48.19,53.92,755976469.632811
2025-06-18T04:00:00,53.86,53.95,51.66,52.26,290969054.561959
2025-06-18T08:00:00,52.26,53.05,50.8,52.11,324142299.303142
2025-06-18T12:00:00,52.04,54.48,51.09,51.78,430655219.906528
2025-06-18T16:00:00,51.84,53.6,51.4,52.37,75512439.719669
2025-06-18T20:00:00,52.28,55.55,52.13,53.99,253780777.541972
2025-06-19T00:00:00,53.87,55.03,49.3,49.89,492145460.973694
2025-06-19T04:00:00,49.88,50.35,49.36,49.53,126528410.134699
2025-06-19T08:00:00,49.53,49.94,49.01,49.44,104042451.235129
2025-06-19T12:00:00,49.44,49.44,47.75,48.34,129646378.253125
2025-06-19T16:00:00,48.34,48.38,47.71,47.89,36273752.392144
2025-06-19T20:00:00,47.95,48.16,47.04,47.89,99105781.817046
2025-06-20T00:00:00,47.81,49.75,46.25,46.38,423841679.801612
2025-06-20T04:00:00,46.35,47.17,45.38,46.84,92216610.115563
2025-06-20T08:00:00,46.84,47.55,46.09,46.55,45785303.566848
2025-06-20T12:00:00,46.47,46.56,45.25,45.46,30285781.951446
2025-06-20T16:00:00,45.37,45.44,44.5,45.17,30791527.745051
2025-06-20T20:00:00,45.17,46.28,45.17,46.06,15203505.361068
2025-06-21T00:00:00,46.06,46.07,43.84,44.09,66416733.070729
2025-06-21T04:00:00,44.17,44.86,44.02,44.13,28205082.61395
2025-06-21T08:00:00,44.13,44.23,43.07,43.17,46400257.417447
2025-06-21T12:00:00,43.17,43.42,42.17,42.5,52630413.120541
2025-06-21T16:00:00,42.5,42.75,41.41,41.5,19953016.953428
2025-06-21T20:00:00,41.57,41.95,40.61,41.71,31834669.139206
2025-06-22T00:00:00,41.7,41.78,38.89,39.18,53598468.628469
2025-06-22T04:00:00,39.18,39.56,38.11,38.2,40702232.204078
2025-06-22T08:00:00,38.28,40.1,37.69,38.73,61291628.898676
2025-06-22T12:00:00,38.78,38.93,37,37.45,41661035.451972
2025-06-22T16:00:00,37.45,38.22,36.82,37.19,6984693.033263
2025-06-22T20:00:00,37.19,37.83,36.32,37.49,21030030.47584
2025-06-23T00:00:00,37.51,37.77,36.73,37,29937790.694943
2025-06-23T04:00:00,37,38.29,36.82,38.19,25378203.092716
