datetime,open,high,low,close,volume
2025-02-12T00:00:00,1224,2450,1224,1906,444065317.99257
2025-02-12T04:00:00,1908,2107,1577,1670,168309115.230652
2025-02-12T08:00:00,1668,1777,1606,1667,94121106.943302
2025-02-12T12:00:00,1665,1725,1415,1441,95402451.851757
2025-02-12T16:00:00,1441,1572,1417,1457,41805791.822384
2025-02-12T20:00:00,1456,1530,1444,1491,26851192.309906
2025-02-13T00:00:00,1491,1550,1434,1464,58743752.507349
2025-02-13T04:00:00,1463,1467,1303,1310,39676600.267443
2025-02-13T08:00:00,1310,1348,1260,1309,47605108.869653
2025-02-13T12:00:00,1309,1322,1271,1275,17398359.710747
2025-02-13T16:00:00,1275,1276,1227,1249,9850323.016817
2025-02-13T20:00:00,1250,1276,1234,1262,8638823.008803
2025-02-14T00:00:00,1260,1288,1228,1263,25458755.379965
2025-02-14T04:00:00,1265,1266,1206,1219,13509642.026959
2025-02-14T08:00:00,1218,1249,1172,1205,26747032.539369
2025-02-14T12:00:00,1205,1235,1195,1225,10739239.972303
2025-02-14T16:00:00,1226,1263,1203,1206,9163628.178609
2025-02-14T20:00:00,1206,1337,1180,1211,18157982.968588
2025-02-15T00:00:00,1211,1264,1193,1231,28100817.169627
2025-02-15T04:00:00,1231,1329,1226,1243,52057144.678966
2025-02-15T08:00:00,1242,1252,1174,1179,23400876.786102
2025-02-15T12:00:00,1179,1193,1137,1146,15884328.123931
2025-02-15T16:00:00,1146,1159,1100,1105,7392361.484718
2025-02-15T20:00:00,1107,1142,1086,1129,9040752.956671
2025-02-16T00:00:00,1129,1178,1101,1114,45227963.542853
2025-02-16T04:00:00,1114,1128,1087,1092,9385701.562469
2025-02-16T08:00:00,1092,1111,1075,1108,10316196.391013
2025-02-16T12:00:00,1109,1118,1094,1109,5984490.334013
2025-02-16T16:00:00,1112,1126,1100,1121,1231450.538566
2025-02-16T20:00:00,1120,1139,1101,1128,3296284.186583
2025-02-17T00:00:00,1127,1128,1085,1095,6897195.769689
2025-02-17T04:00:00,1097,1098,1036,1043,11168028.827915
2025-02-17T08:00:00,1043,1064,1027,1060,4860244.790191
2025-02-17T12:00:00,1061,1080,1055,1056,3451358.375887
2025-02-17T16:00:00,1056,1065,1025,1029,2356644.733544
2025-02-17T20:00:00,1032,1071,1030,1059,2052132.318422
2025-02-18T00:00:00,1058,1071,1033,1041,3876534.024189
2025-02-18T04:00:00,1041,1045,953.9,962.3,13528064.877922
2025-02-18T08:00:00,962.3,974.6,954.4,956.5,7214291.98305
2025-02-18T12:00:00,955.7,975,905.2,913,8801590.056013
2025-02-18T16:00:00,912.1,931.6,902.2,920.3,3575164.977861
2025-02-18T20:00:00,920.3,950,918.3,938.3,2911033.92641
2025-02-19T00:00:00,938.2,977.2,919.5,930.1,11271274.941735
2025-02-19T04:00:00,931.1,965,909.9,953.2,5682819.931964
2025-02-19T08:00:00,953.5,999.4,940.2,956.6,9772428.900142
2025-02-19T12:00:00,956.6,963.5,933.5,950.1,3287568.521889
2025-02-19T16:00:00,949.4,965.5,945.3,955.2,1306914.508678
2025-02-19T20:00:00,955,958,927.2,951.3,2139269.969453
2025-02-20T00:00:00,951.3,966.1,929,959.2,5147684.171552
2025-02-20T04:00:00,959.2,992,954.7,970.8,5967775.66452
2025-02-20T08:00:00,973,1054,967.6,1052,21677532.644329
2025-02-20T12:00:00,1051,1094,985.2,994,38629672.048796
2025-02-20T16:00:00,993.3,1018,991.3,1013,3929768.915189
2025-02-20T20:00:00,1014,1136,1011,1107,36206966.270884
2025-02-21T00:00:00,1107,1111,1031,1074,24416788.821674
2025-02-21T04:00:00,1074,1095,1040,1059,13082450.307703
2025-02-21T08:00:00,1061,1147,1060,1113,19355553.749761
2025-02-21T12:00:00,1113,1121,1038,1061,10901064.771892
2025-02-21T16:00:00,1057,1079,1023,1034,6351411.132956
2025-02-21T20:00:00,1034,1056,1010,1019,5337245.972451
2025-02-22T00:00:00,1019,1022,960.4,967,12374541.087019
2025-02-22T04:00:00,964.5,994.3,964.5,991,5998381.43468
2025-02-22T08:00:00,991.1,1006,978,987.4,4521205.849273
2025-02-22T12:00:00,987.4,1027,982,1015,5436510.452856
2025-02-22T16:00:00,1017,1037,1002,1008,2453936.275579
2025-02-22T20:00:00,1010,1018,999.7,1005,1779595.236244
2025-02-23T00:00:00,1004,1051,990,996.5,10170236.795524
2025-02-23T04:00:00,996.8,1017,978.3,1009,4234899.371375
2025-02-23T08:00:00,1008,1012,987.7,987.7,3367802.110092
2025-02-23T12:00:00,987.7,993.6,945.7,949.5,5209750.824032
2025-02-23T16:00:00,949.5,975.1,949.5,972.1,752032.749891
2025-02-23T20:00:00,972.5,987.4,965.8,982.5,1839239.214761
2025-02-24T00:00:00,983.6,1007,935.4,945,7989838.933323
2025-02-24T04:00:00,944.8,968.2,926.5,951,3811847.284762
2025-02-24T08:00:00,951,994.3,937.1,989.3,5361603.216604
2025-02-24T12:00:00,989.3,1035,974,1016,17274199.237613
2025-02-24T16:00:00,1018,1045,995.3,1010,7560920.426304
2025-02-24T20:00:00,1010,1027,960,987,7422408.405903
2025-02-25T00:00:00,987,1074,958,1038,16970837.876271
2025-02-25T04:00:00,1039,1065,999.4,1049,13160031.827174
2025-02-25T08:00:00,1049,1088,902.3,977.1,24989812.139457
2025-02-25T12:00:00,977.1,1012,952.7,999.3,9668646.201338
2025-02-25T16:00:00,999.3,1032,989.9,1031,2044293.537257
2025-02-25T20:00:00,1031,1058,1023,1028,2882030.721793
