datetime,open,high,low,close,volume
2024-10-17T08:00:00,25770,33890,25770,28990,2711145.719347
2024-10-17T12:00:00,28990,30060,28880,29820,523518.174396
2024-10-17T16:00:00,29810,29990,28680,29060,175602.803924
2024-10-17T20:00:00,29040,29380,28880,29090,147729.696216
2024-10-18T00:00:00,29070,29340,28500,28810,378868.970656
2024-10-18T04:00:00,28800,30230,28780,30120,292523.357361
2024-10-18T08:00:00,30120,30410,29590,29640,281967.885475
2024-10-18T12:00:00,29630,29980,29350,29850,102640.876363
2024-10-18T16:00:00,29860,30130,29690,29830,47318.241509
2024-10-18T20:00:00,29830,30090,29650,30030,39251.618533
2024-10-19T00:00:00,30030,30220,29750,29990,119610.518589
2024-10-19T04:00:00,29990,30110,29650,29690,72328.295772
2024-10-19T08:00:00,29690,30000,29570,29630,60751.594583
2024-10-19T12:00:00,29630,30120,29630,29950,21326.551584
2024-10-19T16:00:00,29950,30180,29860,29860,16756.254274
2024-10-19T20:00:00,29880,30440,29880,30320,24985.461013
2024-10-20T00:00:00,30320,30570,29610,29820,52884.206937
2024-10-20T04:00:00,29820,30110,29760,30000,22114.31799
2024-10-20T08:00:00,29990,30150,29800,29930,19844.160741
2024-10-20T12:00:00,29930,30720,29600,30150,45284.598634
2024-10-20T16:00:00,30110,30220,29870,30030,9484.38487
2024-10-20T20:00:00,30020,30330,29960,30170,15168.214621
2024-10-21T00:00:00,30170,30390,29700,29920,44030.141522
2024-10-21T04:00:00,29920,30260,29660,29680,70005.877783
2024-10-21T08:00:00,29690,29870,29290,29720,39737.352913
2024-10-21T12:00:00,29720,29840,28860,29350,41224.521825
2024-10-21T16:00:00,29360,29360,28810,29330,13056.322897
2024-10-21T20:00:00,29290,29540,29070,29070,5198.134749
2024-10-22T00:00:00,29070,29470,28640,29290,25752.186457
2024-10-22T04:00:00,29330,29600,29180,29280,18484.100254
2024-10-22T08:00:00,29290,29350,28660,28900,22054.771718
2024-10-22T12:00:00,28890,29020,28460,28780,16639.35282
2024-10-22T16:00:00,28790,28840,28450,28750,6132.072146
2024-10-22T20:00:00,28770,29030,28750,28800,4233.100553
2024-10-23T00:00:00,28870,28940,28430,28470,12892.48768
2024-10-23T04:00:00,28530,28650,28150,28240,22316.90536
2024-10-23T08:00:00,28240,28350,27740,27810,22671.396159
2024-10-23T12:00:00,27810,28200,27520,27720,19056.645892
2024-10-23T16:00:00,27680,27950,27160,27910,18713.750151
2024-10-23T20:00:00,27980,28180,27760,27900,5664.587612
2024-10-24T00:00:00,27930,28310,27750,28140,10911.792906
2024-10-24T04:00:00,28150,28330,28000,28010,14757.042047
2024-10-24T08:00:00,28010,28050,27420,27800,33354.405138
2024-10-24T12:00:00,27820,28140,27800,28040,17523.222449
2024-10-24T16:00:00,28070,28110,27810,28010,6691.076309
2024-10-24T20:00:00,28030,28320,27930,28160,7018.498595
2024-10-25T00:00:00,28160,28360,27950,28190,42787.556761
2024-10-25T04:00:00,28190,28200,27620,27870,28176.082585
2024-10-25T08:00:00,27870,28170,27580,28120,14331.007524
2024-10-25T12:00:00,28130,28210,27400,27540,14589.33968
2024-10-25T16:00:00,27530,27720,27040,27380,22486.649734
2024-10-25T20:00:00,27390,27530,24130,25590,86554.1624
2024-10-26T00:00:00,25580,26240,25200,26110,35802.348014
2024-10-26T04:00:00,26110,26350,25980,26210,14918.859869
2024-10-26T08:00:00,26200,26280,25980,26100,6527.685351
2024-10-26T12:00:00,26100,26100,25250,25390,12818.611624
2024-10-26T16:00:00,25390,25880,25350,25790,2332.101411
2024-10-26T20:00:00,25820,26040,25710,25740,5558.944916
2024-10-27T00:00:00,25740,25880,25620,25880,29293.230618
2024-10-27T04:00:00,25880,25950,25720,25820,4736.466699
2024-10-27T08:00:00,25820,25910,25610,25650,9813.324302
2024-10-27T12:00:00,25650,26300,25650,26200,8212.057121
2024-10-27T16:00:00,26210,26440,26020,26240,4336.314608
2024-10-27T20:00:00,26220,26640,26170,26490,7397.78665
2024-10-28T00:00:00,26510,26610,26000,26050,11168.398817
2024-10-28T04:00:00,26030,26350,25740,26200,13804.360869
2024-10-28T08:00:00,26250,26500,26000,26340,7995.636763
2024-10-28T12:00:00,26300,26480,25840,25840,11807.267123
2024-10-28T16:00:00,25840,26350,25500,26100,5110.203395
2024-10-28T20:00:00,26120,26930,26110,26770,11114.507996
2024-10-29T00:00:00,26780,28070,26720,28050,22771.291635
2024-10-29T04:00:00,28010,28100,27540,27560,34063.959455
2024-10-29T08:00:00,27560,28020,27480,27980,17703.040602
2024-10-29T12:00:00,27960,28200,27810,28130,17149.060512
2024-10-29T16:00:00,28140,28420,27770,27910,22053.06114
2024-10-29T20:00:00,27770,28250,27600,28250,8734.551587
2024-10-30T00:00:00,28260,28290,27710,27850,19501.70235
2024-10-30T04:00:00,27870,27920,27620,27630,6700.23761
2024-10-30T08:00:00,27640,27770,27130,27140,14460.423839
2024-10-30T12:00:00,27140,27840,27020,27330,10869.517585
2024-10-30T16:00:00,27400,27710,27320,27580,1503.047828
2024-10-30T20:00:00,27510,28080,27370,27620,7437.142413
2024-10-31T00:00:00,27660,27670,27340,27370,5099.321241
2024-10-31T04:00:00,27400,27450,27050,27280,4903.013334
2024-10-31T08:00:00,27300,27300,26870,27110,7184.052062
2024-10-31T12:00:00,27110,27280,26680,26950,13604.481383
2024-10-31T16:00:00,26960,27020,26260,26300,4753.592194
2024-10-31T20:00:00,26300,26780,26300,26620,9725.248803
2024-11-01T00:00:00,26580,26800,26060,26510,8589.964998
2024-11-01T04:00:00,26510,26590,25810,25950,6500.235212
2024-11-01T08:00:00,25950,26620,25930,26520,2278.483208
2024-11-01T12:00:00,26470,27590,26000,26220,7898.841855
2024-11-01T16:00:00,26190,26670,26140,26390,4675.385587
2024-11-01T20:00:00,26330,26430,25750,26220,4022.171738
2024-11-02T00:00:00,26220,26420,26080,26080,4766.438393
2024-11-02T04:00:00,26070,26110,25880,26050,2965.580775
2024-11-02T08:00:00,26060,26060,25750,25870,11764.154187
2024-11-02T12:00:00,25890,25900,25080,25320,25381.719547
2024-11-02T16:00:00,25350,25540,24850,25190,7256.273677
2024-11-02T20:00:00,25150,25340,25060,25180,4523.72372
2024-11-03T00:00:00,25220,25280,24180,24640,20684.986512
2024-11-03T04:00:00,24610,24910,24610,24740,4416.830431
2024-11-03T08:00:00,24710,24790,24240,24250,6982.71166
2024-11-03T12:00:00,24260,24410,22480,23160,86076.465996
2024-11-03T16:00:00,23120,23460,22940,23420,9380.499795
2024-11-03T20:00:00,23470,23800,23400,23540,13658.867265
2024-11-04T00:00:00,23520,23980,23090,23600,18674.765607
2024-11-04T04:00:00,23630,23760,23130,23150,9649.065326
2024-11-04T08:00:00,23170,23580,23070,23520,9051.012345
2024-11-04T12:00:00,23500,23690,23100,23210,5872.760232
2024-11-04T16:00:00,23200,23200,22720,22940,6732.063076
2024-11-04T20:00:00,22920,23000,22280,22700,9883.141861
2024-11-05T00:00:00,22720,23150,22720,23090,6355.953148
2024-11-05T04:00:00,23130,23580,23110,23570,12259.684665
2024-11-05T08:00:00,23580,23720,23350,23600,8590.762582
2024-11-05T12:00:00,23610,24390,23470,24030,10272.498897
2024-11-05T16:00:00,24050,24440,23760,23760,5101.891391
2024-11-05T20:00:00,23870,24200,23760,24070,6651.756786
2024-11-06T00:00:00,24030,26470,24030,26200,22622.727195
2024-11-06T04:00:00,26240,28870,26230,27650,578560.42348
2024-11-06T08:00:00,27720,29370,26800,28700,220516.790828
2024-11-06T12:00:00,28700,29030,28030,28550,89490.437387
2024-11-06T16:00:00,28530,29380,28470,28990,21118.414278
2024-11-06T20:00:00,29020,29490,28720,29240,23368.187652
2024-11-07T00:00:00,29240,29980,28950,29370,70580.592386
2024-11-07T04:00:00,29370,29430,28300,28520,22016.176298
2024-11-07T08:00:00,28520,29070,28500,28790,13988.968513
2024-11-07T12:00:00,28720,29250,28410,29230,13261.329911
2024-11-07T16:00:00,29230,29780,29170,29610,13480.424654
2024-11-07T20:00:00,29670,30030,29370,29670,15078.27195
2024-11-08T00:00:00,29680,31050,29640,30400,44350.820033
2024-11-08T04:00:00,30390,31000,30090,30530,17969.301046
2024-11-08T08:00:00,30490,31310,30060,31150,33318.511708
2024-11-08T12:00:00,31150,31860,30930,31680,52778.766756
2024-11-08T16:00:00,31740,31900,30700,31580,11799.073108
2024-11-08T20:00:00,31550,31560,30890,31260,14879.872806
2024-11-09T00:00:00,31260,31790,30630,30700,49479.285213
2024-11-09T04:00:00,30700,31510,30700,31240,13487.96024
2024-11-09T08:00:00,31330,31620,31100,31260,12669.302834
2024-11-09T12:00:00,31340,31430,30660,31000,9841.793442
2024-11-09T16:00:00,31000,31220,30540,31070,2646.124931
2024-11-09T20:00:00,31150,33030,31150,32910,18618.29296
2024-11-10T00:00:00,32920,34280,32790,33520,78557.420696
2024-11-10T04:00:00,33630,34690,33370,34520,25201.926485
2024-11-10T08:00:00,34480,36400,34480,36140,78509.50176
2024-11-10T12:00:00,36110,36500,35070,35740,40216.063293
2024-11-10T16:00:00,35740,35990,34150,34580,9333.27631
2024-11-10T20:00:00,34580,35650,32220,35650,23005.518571
2024-11-11T00:00:00,35650,36500,35110,36200,27664.841542
2024-11-11T04:00:00,36180,36500,34490,36340,26099.002056
2024-11-11T08:00:00,36230,37600,35940,37410,28741.397585
2024-11-11T12:00:00,37360,37820,35710,36150,31992.611218
